round_id,agent_count,byzantine_count,byzantine_ratio,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,outlier_count
181,3,0,0.00,0.70,true,102.2540,102.2540,1.0000,0,1.0000,0
182,3,0,0.00,0.70,true,102.6335,102.6335,1.0000,0,1.0000,0
183,3,0,0.00,0.70,true,101.6206,101.6206,1.0000,0,1.0000,0
184,3,0,0.00,0.70,true,102.1607,102.1607,1.0000,0,1.0000,0
185,3,0,0.00,0.70,true,102.6862,102.6862,1.0000,0,1.0000,0
186,3,0,0.00,0.70,true,102.2605,102.2605,1.0000,0,1.0000,0
187,3,0,0.00,0.70,true,96.2386,96.2386,1.0000,0,1.0000,0
188,3,0,0.00,0.70,true,107.0636,107.0636,1.0000,0,1.0000,0
189,3,0,0.00,0.70,true,98.7731,98.7731,1.0000,0,1.0000,0
190,3,0,0.00,0.70,true,100.6307,100.6307,1.0000,0,1.0000,0
191,3,0,0.00,0.70,true,96.8191,96.8191,1.0000,0,1.0000,0
192,3,0,0.00,0.70,true,97.7155,97.7155,1.0000,0,1.0000,0
193,3,0,0.00,0.70,true,104.6030,104.6030,1.0000,0,1.0000,0
194,3,0,0.00,0.70,true,98.5729,98.5729,1.0000,0,1.0000,0
195,3,0,0.00,0.70,true,96.1617,96.1617,1.0000,0,1.0000,0
196,3,0,0.00,0.70,true,95.6011,95.6011,1.0000,0,1.0000,0
197,3,0,0.00,0.70,true,101.7215,101.7215,1.0000,0,1.0000,0
198,3,0,0.00,0.70,true,99.8303,99.8303,1.0000,0,1.0000,0
199,3,0,0.00,0.70,true,100.9250,100.9250,1.0000,0,1.0000,0
200,3,0,0.00,0.70,true,101.0129,101.0129,1.0000,0,1.0000,0
201,3,0,0.00,0.70,true,100.4234,100.4234,1.0000,0,1.0000,0
202,3,0,0.00,0.70,true,91.9931,91.9931,1.0000,0,1.0000,0
203,3,0,0.00,0.70,true,103.2063,103.2063,1.0000,0,1.0000,0
204,3,0,0.00,0.70,true,93.4264,93.4264,1.0000,0,1.0000,0
205,3,0,0.00,0.70,true,101.3828,101.3828,1.0000,0,1.0000,0
206,3,0,0.00,0.70,true,98.8271,98.8271,1.0000,0,1.0000,0
207,3,0,0.00,0.70,true,96.6337,96.6337,1.0000,0,1.0000,0
208,3,0,0.00,0.70,true,96.2931,96.2931,1.0000,0,1.0000,0
209,3,0,0.00,0.70,true,94.9597,94.9597,1.0000,0,1.0000,0
210,3,0,0.00,0.75,true,95.7742,95.7742,1.0000,0,1.0000,0
211,3,0,0.00,0.75,true,102.5966,102.5966,1.0000,0,1.0000,0
212,3,0,0.00,0.75,true,98.8936,98.8936,1.0000,0,1.0000,0
213,3,0,0.00,0.75,true,102.9113,102.9113,1.0000,0,1.0000,0
214,3,0,0.00,0.75,true,96.4213,96.4213,1.0000,0,1.0000,0
215,3,0,0.00,0.75,true,103.0651,103.0651,1.0000,0,1.0000,0
216,3,0,0.00,0.75,true,99.0442,99.0442,1.0000,0,1.0000,0
